Month,Profit,Sales,Discount,Shipping Cost,Quantity,Order Priority,Ship Mode,Customer Satisfaction,Market Campaign,Sales Mode,Region
Jan,971.99,5687.15,0.02,23.21,29,High,Standard Class,2.7,poor,online,North
Jan,1296.74,8088.99,0.12,49.66,35,Low,Standard Class,3.1,moderate,in_store,West
Jan,624.16,4004.26,0.11,9.45,39,High,First Class,4.8,moderate,in_store,East
Jan,1137.3,7337.62,0.26,14.93,18,High,First Class,2.8,moderate,combined,North
Jan,568.46,1694.58,0.01,19.52,20,Low,First Class,2.4,poor,combined,West
Jan,728.6,6046.92,0.28,11.65,43,Medium,Standard Class,1.8,aggressive,online,North
Jan,853.05,8672.06,0.2,17.79,23,High,Standard Class,4.1,poor,in_store,East
Jan,1103.2,9836.86,0.27,40.07,34,High,Standard Class,3.2,poor,combined,West
Jan,-87.71,885.72,0.18,28.53,33,Low,Standard Class,4.3,poor,online,South
Jan,353.39,4340.64,0.24,6.53,50,Low,Standard Class,3.6,poor,in_store,South
Jan,316.99,2124.97,0.1,49.22,48,Medium,First Class,4.5,moderate,combined,West
Jan,851.32,4561.3,0.1,32.72,10,Low,Standard Class,1.3,aggressive,in_store,West
Jan,1355.74,5522.86,0.12,7.65,33,High,First Class,2.8,poor,combined,East
Jan,-198.24,1023.93,0.23,34.75,47,Low,Standard Class,2.8,poor,in_store,East
Jan,371.58,3038.92,0.11,22.03,33,High,Standard Class,4.4,moderate,online,East
Jan,1670.93,9283.08,0.07,11.11,48,Low,Standard Class,2.4,moderate,combined,West
Jan,577.22,5733.14,0.28,30.36,26,Low,First Class,4.6,moderate,in_store,North
Jan,879.71,4628.38,0.27,37.72,20,Low,First Class,3.1,aggressive,combined,North
Jan,1079.39,7559.91,0.1,35.2,15,Low,Standard Class,2,moderate,combined,West
Jan,1081.49,7444.44,0.19,16.14,37,Medium,First Class,2.1,aggressive,in_store,North
Jan,-210.47,580.93,0.08,28.62,33,High,Standard Class,4.3,poor,online,South
Jan,1455.63,7116.1,0.06,29.19,17,Medium,First Class,3.6,moderate,combined,West
Jan,988,8408.51,0.1,37.26,5,Low,Standard Class,3,poor,in_store,South
Jan,45.86,1742.79,0.1,21.19,50,Medium,Standard Class,4.6,poor,online,South
Jan,809.9,7831.88,0.26,40.9,4,Low,Standard Class,1.6,poor,in_store,South
Jan,-254,2936.71,0.25,33.26,3,High,Standard Class,3,poor,in_store,East
Jan,694.39,3134.05,0.21,6.72,21,High,First Class,3.6,moderate,combined,South
Jan,561.34,6686.09,0.29,29.59,40,Medium,First Class,4.8,aggressive,in_store,East
Jan,317.39,1202.78,0.13,43.79,3,Medium,First Class,1.1,moderate,in_store,West
Jan,1273.19,6682.24,0.07,30.54,21,High,Standard Class,2.1,moderate,online,East
Jan,1769.2,8889.78,0.04,0,48,Low,Standard Class,1.2,moderate,combined,North
Jan,857.7,6993.48,0.09,27.97,49,Low,Standard Class,4.2,poor,in_store,South
Jan,334.38,4459.25,0.04,39.06,8,High,Standard Class,4.2,moderate,combined,South
Jan,1285.87,4438.32,0.03,9.95,42,Medium,First Class,3.1,poor,online,North
Jan,1497.47,7674.45,0.18,41.77,36,Low,First Class,3.4,poor,online,East
Jan,946.22,5699.86,0.11,12.54,29,Low,First Class,3.5,aggressive,in_store,South
Jan,-88.39,940.55,0.17,29.03,39,High,First Class,2.7,poor,combined,East
Jan,750.25,5868.44,0.06,22.36,34,Medium,Standard Class,2.5,poor,in_store,North
Jan,1182.34,8166.95,0.2,16.19,22,Low,Standard Class,3.7,aggressive,combined,South
Jan,438.1,3436.96,0.06,34.13,31,Medium,First Class,2.3,poor,combined,North
Jan,1884.46,9283.01,0.08,6.68,28,Medium,First Class,3.8,moderate,online,East
Jan,528.32,7532.1,0.22,39.2,35,Medium,Standard Class,4.9,poor,in_store,East
Jan,628.03,5783.23,0.17,28.71,34,Low,Standard Class,5,moderate,combined,East
Jan,1074.12,7541.28,0.1,44.41,13,Medium,Standard Class,2.5,poor,online,West
Jan,309,883.57,0.16,28.43,41,Low,Standard Class,2.1,poor,online,North
Jan,1559.42,8607.95,0.21,6.58,4,High,First Class,3.2,moderate,combined,East
Jan,857.95,8232.89,0.27,11.46,43,Low,Standard Class,2.3,aggressive,in_store,East
Jan,839.86,9107.73,0.17,40.8,6,Low,Standard Class,4.3,poor,in_store,West
Jan,-236.51,1373.45,0.07,27.14,1,High,Standard Class,4.7,poor,in_store,West
Jan,-176.21,909.62,0.22,24.88,12,Low,First Class,3.8,aggressive,in_store,North
Jan,576.55,1470.31,0.23,19.33,35,Low,First Class,4,aggressive,online,North
Jan,869.04,4053.85,0.06,17.8,11,High,First Class,2.7,aggressive,in_store,East
Jan,287.23,4300.64,0.25,48.46,23,High,First Class,1.3,poor,in_store,North
Jan,508.68,5665.96,0.14,24.48,14,Low,Standard Class,4.4,moderate,combined,West
Jan,41.2,1310.21,0.23,44.78,19,Low,Standard Class,3.2,poor,combined,South
Jan,534.55,2093.86,0.07,34.17,37,Low,First Class,3.5,moderate,combined,East
Jan,970.73,8135.28,0.1,43.63,16,High,First Class,3.6,aggressive,combined,West
Jan,764.56,4733.08,0.29,43.36,44,Low,First Class,3.3,poor,online,West
Jan,709.05,8098.59,0.2,48.03,28,Low,Standard Class,1,poor,in_store,East
Jan,-268.75,173.52,0.23,36.41,45,Medium,Standard Class,1.9,poor,in_store,North
Jan,759.82,5560.77,0.21,41.24,31,Medium,Standard Class,1.8,poor,online,East
Jan,1059.03,9326.13,0.06,37.99,7,Low,Standard Class,2.8,aggressive,online,West
Jan,763.83,5863.54,0.14,32.24,46,High,Standard Class,3.8,aggressive,online,North
Jan,137.54,2140.35,0.24,37.28,27,High,Standard Class,4.2,aggressive,online,West
Jan,559.89,7205.8,0.2,37.21,17,Low,Standard Class,4.5,poor,in_store,East
Jan,1173.84,3851.96,0,6.84,7,High,First Class,2.7,poor,online,East
Jan,1059.15,6717,0.03,28.22,15,Low,First Class,2.9,moderate,in_store,North
Jan,-365.79,390.27,0.1,40.67,40,Low,Standard Class,2.6,moderate,combined,North
Jan,862.81,6395.41,0.28,15.93,12,High,First Class,1.3,moderate,combined,West
Jan,310.29,418.76,0.15,25.93,8,Low,First Class,2.1,poor,online,South
Jan,1154.5,7473.33,0.08,24.57,2,High,First Class,2.5,poor,in_store,West
Jan,1242.98,4781.84,0.11,23.13,44,Medium,First Class,1.8,moderate,combined,North
Jan,611.74,1305.37,0.06,10.48,38,Low,First Class,3.4,moderate,combined,East
Jan,1309.4,5472.1,0.13,28.66,26,Medium,First Class,4.5,moderate,online,North
